gene,log2_fc,p_value,adj_p_value,mean_expression,status
Gene_331,1.0256605942717736,0.010869783613095457,0.3882848559888343,7.8,Neutral
Gene_332,-0.4921764652807151,0.11088130074291241,0.39818467892149634,10.14,Neutral
Gene_333,0.6514590696651408,0.023184038176988518,0.40178937364182166,9.41,Neutral
Gene_334,-0.3322984898942238,0.03102192627027642,0.42411407759746617,7.64,Neutral
Gene_335,-0.14692770916016296,0.644891662874762,0.4446070184256847,9.05,Neutral
Gene_336,1.0368988025300911,0.010519086988569185,0.4452303526323739,10.71,Neutral
Gene_337,-2.4913254638176947,0.000747301761596706,0.467244967851718,10.74,Neutral
Gene_338,-1.6205904100934512,0.0009682045512825083,0.4778634619306837,6.28,Neutral
Gene_339,-1.852731746803526,0.003666433813923284,0.4781939186361682,6.7,Neutral
Gene_340,-2.917020149810381,7.561505115810737e-05,0.4934442859134912,10.08,Neutral
Gene_341,-0.8478305501939709,0.019616056251793683,0.49361623398038884,6.52,Neutral
Gene_342,0.9367923746596756,0.02543320553267591,0.5049629098205812,6.15,Neutral
Gene_343,-0.3561050829782184,0.04783249789682372,0.5176747944852574,7.32,Neutral
Gene_344,0.24723760242731516,0.0546274362716,0.5200919934828988,8.59,Neutral
Gene_345,1.3615218708884909,0.004947846806083456,0.5203457223259661,7.86,Neutral
Gene_346,1.6596076653346146,0.0012542000626710246,0.524381597700325,7.09,Neutral
Gene_347,-0.08642241840767444,0.0371437572018538,0.5300366180658161,7.06,Neutral
Gene_348,1.6919823619617467,0.0033216820215528735,0.5301884622494912,7.0,Neutral
Gene_349,0.11515832304263651,0.14883592388041214,0.5403325109090749,6.77,Neutral
Gene_350,-1.0467477797843276,0.06326327786948113,0.5445537028027593,11.19,Neutral
Gene_351,-0.743000440248419,0.012089593468750933,0.5461990145327686,8.42,Neutral
Gene_352,-1.8506706407062703,0.001604630968476976,0.5616524011393922,9.24,Neutral
Gene_353,-1.1101673171670654,0.01561888238542463,0.6379289721023078,7.32,Neutral
Gene_354,-0.44752086009303643,0.2329203426098285,0.6510580941795252,7.74,Neutral
Gene_355,1.004481274223252,0.004573944356594061,0.6770738526072713,7.0,Neutral
Gene_356,2.15096228895748,0.0010863579147045851,0.6834970306629009,4.29,Neutral
Gene_357,-1.7277268942213,0.0013311067879925769,0.6853711097201983,6.07,Neutral
Gene_358,0.49103433532489865,0.17504072117243893,0.7033274306860595,5.47,Neutral
Gene_359,-1.300679923946918,0.0016920700018028451,0.7043575288351794,4.85,Neutral
Gene_360,0.5933713605790024,0.12251720199713757,0.7182921673509435,6.33,Neutral
Gene_361,-0.16385831335965825,0.35042708252992294,0.7193858875432849,9.85,Neutral
Gene_362,-2.288632282309413,0.00017858061055368133,0.7303876175347642,7.94,Neutral
Gene_363,1.1603712394606054,0.0028392271778371375,0.7348114453502984,9.81,Neutral
Gene_364,-0.7562508910109138,0.07221176991897228,0.770019895969865,8.58,Neutral
Gene_365,-0.6673752979669433,0.04072331315145552,0.8565918608048886,9.1,Neutral
Gene_366,-1.3371905141121123,0.0031347701062447307,0.8610960866485413,6.74,Neutral
Gene_367,-0.8178540958594444,0.007697022303673089,0.9087404607250901,8.73,Neutral
Gene_368,0.5348630508686465,0.07628428381247941,0.9109933722991528,9.02,Neutral
Gene_369,-0.2365554261705069,0.10772809050940585,0.9372409925217609,7.19,Neutral
Gene_370,0.4108275028531013,0.033969007702216475,0.947267408327291,8.78,Neutral
Gene_371,0.45240231741105463,0.03151189225712901,0.9807180370189664,8.79,Neutral
Gene_372,1.6508270694102087,0.0011885918567911642,0.9962779355537229,7.23,Neutral
Gene_373,-0.4284826885804741,0.05545138963405739,1.0,6.43,Neutral
Gene_374,-1.8460722710571646,0.005939163343566242,1.0,6.34,Neutral
Gene_375,1.3340280207149788,0.0018568578989079962,1.0,8.12,Neutral
Gene_376,-0.41436021512156834,0.022870146115747808,1.0,8.46,Neutral
Gene_377,1.3932405557217211,0.0022150297495444108,1.0,6.89,Neutral
Gene_378,0.479221391478088,0.21065226322998762,1.0,8.04,Neutral
Gene_379,-0.16392191275418116,0.3451014806282396,1.0,8.8,Neutral
Gene_380,0.4359698675578689,0.03163298749583654,1.0,8.87,Neutral
Gene_381,2.4387657001578744,0.0016401166436373028,1.0,10.17,Neutral
Gene_382,2.5962256613171912,5.515475610245532e-05,1.0,9.79,Neutral
Gene_383,0.08672641891597338,0.24605994548759308,1.0,6.6,Neutral
Gene_384,0.20023824164634413,0.06298400124104347,1.0,10.36,Neutral
Gene_385,1.3453001968329819,0.001897909412417266,1.0,7.26,Neutral
Gene_386,-1.057076290959184,0.018692299945861652,1.0,9.46,Neutral
Gene_387,0.4163379657728189,0.12515878404411132,1.0,8.1,Neutral
Gene_388,-0.0323285599423205,0.13761070232090114,1.0,7.42,Neutral
Gene_389,0.392385264321942,0.058842639028350824,1.0,5.47,Neutral
Gene_390,-1.0417110074367573,0.018593088570927868,1.0,7.76,Neutral
Gene_391,-1.9869593666362113,0.0008729505988195417,1.0,5.82,Neutral
Gene_392,-2.5912292949891147,6.40666865322714e-05,1.0,9.35,Neutral
Gene_393,-1.39673014123701,0.006154720270559224,1.0,10.12,Neutral
Gene_394,-0.5733441061741663,0.1219029210637611,1.0,6.88,Neutral
Gene_395,-0.36648948331095227,0.11886637413827084,1.0,8.42,Neutral
Gene_396,2.421538953036896,0.0005390969874745918,1.0,6.98,Neutral
Gene_397,1.3824917123841227,0.01825096042263495,1.0,7.12,Neutral
Gene_398,-1.202613895427034,0.026385116154519172,1.0,9.08,Neutral
Gene_399,0.4346355655636962,0.03816310226499652,1.0,7.95,Neutral
Gene_400,-0.5088477954379064,0.09234951156828798,1.0,10.44,Neutral
